City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
487,Gilgit,PK,77.65,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
488,Barabai,ID,70.95,broken clouds,-2.5833,115.3833,Bouraq Losmen
489,Bundaberg,AU,70.09,clear sky,-24.85,152.35,Takalvan Motel
490,Mitsamiouli,KM,76.37,clear sky,-11.3847,43.2844,Foyer ADM
491,Katobu,ID,70.36,light rain,-4.9408,122.5276,La Ode Husein
493,Itamaraca,BR,77.68,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
494,Freeport,US,78.31,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
495,Awbari,LY,81.36,clear sky,26.5921,12.7805,فندق أوباري
498,Amahai,ID,77.38,broken clouds,-3.3333,128.9167,HOTEL ISABELA
502,Teguise,ES,70.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
504,San Jose De Rio Tinto,HN,88.05,overcast clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
505,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
506,Ambon,ID,75.34,thunderstorm with heavy rain,-3.6954,128.1814,Swiss-Belhotel Ambon
508,Kota Belud,MY,76.86,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
511,Bin Qirdan,TN,81.32,clear sky,33.1378,11.2197,Hôtel Palace
512,Port Blair,IN,79.97,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
514,Quincy,US,71.53,few clouds,42.2529,-71.0023,Brookside House
517,Hambantota,LK,79.54,scattered clouds,6.1241,81.1185,Bungalow 63
519,Tezu,IN,73.83,clear sky,27.9167,96.1667,Circuit House
521,Yamethin,MM,74.55,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
523,Noumea,NC,71.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
527,Ximei,CN,80.33,clear sky,24.9639,118.3794,Nan'an Hotel
530,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
531,Paraiso,CR,73.89,broken clouds,9.8383,-83.8656,Rinconcito Verde
532,Dhanaula,IN,79.47,clear sky,30.2833,75.5833,Mary Land Resort
534,Nioro,GM,78.8,overcast clouds,13.35,-15.75,
535,Puri,IN,79.32,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
537,Aswan,EG,86.31,clear sky,24.0934,32.907,Nuba Nile
541,El Tigre,VE,82.65,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
543,Brokopondo,SR,83.77,overcast clouds,4.75,-55.1667,Matu Island
544,Espanola,US,85.17,broken clouds,35.9911,-106.0806,Santa Claran Hotel Casino
545,Khuldabad,IN,70.0,overcast clouds,20.05,75.1833,Capital O 29643 Etranger Resort
546,Shingu,JP,72.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
549,Itacare,BR,76.89,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
550,Cloquet,US,85.98,clear sky,46.7216,-92.4594,Super 8 by Wyndham Cloquet
552,Bonfim,BR,83.01,broken clouds,3.0833,-59.95,
557,Guasdualito,VE,79.63,scattered clouds,7.2424,-70.7324,Hotel Cuibas
558,Kibala,TD,73.35,thunderstorm with rain,9.1104,18.3463,hotel safari
562,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
563,Port-Gentil,GA,77.23,overcast clouds,-0.7193,8.7815,Fengshui Residence
564,Santo Antonio Do Sudoeste,BR,76.01,overcast clouds,-26.0736,-53.7253,Hotel Frontera
565,Las Palmas,ES,70.59,scattered clouds,28.4204,-14.0131,Casillas De Morales 59.
568,Tangkak,MY,75.07,overcast clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
