City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Pangody,RU,2021-09-19 18:36:55,65.85,74.4859,37.96,96,100,12.12
269,Civitavecchia,IT,2021-09-19 18:36:55,42.0933,11.7967,76.32,83,1,19.98
270,Kamakwie,SL,2021-09-19 18:36:55,9.5,-12.2333,75.47,97,27,4.0
271,Kielce,PL,2021-09-19 18:36:55,50.8703,20.6275,51.8,83,100,7.87
272,Arlit,NE,2021-09-19 18:36:56,18.7369,7.3853,99.41,10,23,5.97
273,Saint-Joseph,RE,2021-09-19 18:36:56,-21.3667,55.6167,64.78,68,9,5.61
274,Phalaborwa,ZA,2021-09-19 18:36:56,-23.943,31.1411,69.08,38,0,5.77
275,Korla,CN,2021-09-19 18:36:02,41.7597,86.1469,74.3,22,0,1.3
276,Namibe,AO,2021-09-19 18:36:57,-15.1961,12.1522,63.91,79,16,6.8
277,Bodinayakkanur,IN,2021-09-19 18:36:57,10.0167,77.35,78.64,82,100,2.44
278,Dodge City,US,2021-09-19 18:36:57,37.7528,-100.0171,91.63,41,1,15.99
279,Manoharpur,IN,2021-09-19 18:36:58,27.3,75.95,77.95,90,68,5.99
280,Malim,PH,2021-09-19 18:36:58,7.452,123.4312,78.21,82,100,10.0
281,Cap Malheureux,MU,2021-09-19 18:36:58,-19.9842,57.6142,72.09,68,100,1.99
282,Elk River,US,2021-09-19 18:35:23,45.3038,-93.5672,89.94,53,40,4.0
283,Kawalu,ID,2021-09-19 18:36:59,-7.3817,108.2082,70.0,96,67,0.74
284,Trabzon,TR,2021-09-19 18:36:59,40.9167,39.8333,68.09,64,0,5.75
285,Palembang,ID,2021-09-19 18:36:59,-2.9167,104.7458,74.3,92,99,4.12
286,Flin Flon,CA,2021-09-19 18:33:27,54.7682,-101.865,60.64,67,75,13.8
287,Richards Bay,ZA,2021-09-19 18:36:54,-28.783,32.0377,67.44,64,94,18.3
